City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Sao Paulo,UberX,COMPLETED,2022-09-22 15:36:00 +0000 UTC,2022-09-22 15:36:49 +0000 UTC,-23.516045,-46.625435,Tietê Bus Terminal,2022-09-22 16:22:54 +0000 UTC,-23.591215,-46.680878,"Av. Brg. Faria Lima, 3989 - Itaim Bibi, São Paulo - SP, 04538-133, Brazil",8.00,44.95,BRL
Campinas,UberX,COMPLETED,2022-09-22 12:47:16 +0000 UTC,2022-09-22 13:09:17 +0000 UTC,-23.121414,-46.854057,"Tv. 01, 20-90 - Chácaras Maltoni, Jundiaí - SP, 13218, Brazil",2022-09-22 13:32:12 +0000 UTC,-23.207176,-46.895668,"Av. 9 de Julho, 4000 - Jardim Anhanguera - Jundiaí - SP, 13208-056",11.80,44.97,BRL
Campinas,UberX,COMPLETED,2022-09-16 23:24:10 +0000 UTC,2022-09-16 23:26:27 +0000 UTC,-23.183052,-46.89094,"R. Anchieta, 586 - Chácara Urbana - Jundiaí - SP, 13201-804",2022-09-16 23:33:52 +0000 UTC,-23.169252,-46.89063,"Av. Antônio Frederico Ozanam, 6.000 - Vila Rio Branco - Jundiaí - SP, 13215-900",1.72,12.97,BRL
Campinas,UberX,COMPLETED,2022-09-16 18:35:38 +0000 UTC,2022-09-16 18:44:17 +0000 UTC,-23.121468,-46.853985,"Tv. 01, 20-90 - Chácaras Maltoni, Jundiaí - SP, 13218, Brazil",2022-09-16 19:02:10 +0000 UTC,-23.183228,-46.890884,"R. Anchieta, 586 - Chácara Urbana - Jundiaí - SP, 13201-804",6.91,26.93,BRL
Campinas,UberX,COMPLETED,2022-08-21 20:55:06 +0000 UTC,2022-08-21 20:57:31 +0000 UTC,-23.19519,-46.87286,Jundiaí CPTM Station,2022-08-21 21:15:03 +0000 UTC,-23.121454,-46.854004,"Tv. 01, 20-90 - Chácaras Maltoni, Jundiaí - SP, 13218, Brazil",7.50,25.01,BRL
Sao Paulo,UberX,COMPLETED,2022-08-21 18:57:22 +0000 UTC,2022-08-21 19:00:08 +0000 UTC,-23.556425,-46.74434,"Avenida Jaguaré, 403 - Jaguaré - Sao Paulo - SP, 05346-000",2022-08-21 19:04:53 +0000 UTC,-23.545448,-46.732567,"Av. Das Nações Unidas - Vila Leopoldina - São Paulo - SP, 05310-000",1.56,19.94,BRL
Sao Paulo,UberX,COMPLETED,2022-08-21 14:23:14 +0000 UTC,2022-08-21 14:27:42 +0000 UTC,-23.545647,-46.73286,Villa Lobos Station,2022-08-21 14:35:16 +0000 UTC,-23.55652,-46.744404,"Avenida Jaguaré, 403 - Jaguaré - Sao Paulo - SP, 05346-000",2.05,12.9,BRL
Campinas,UberX,CANCELED,2022-08-10 11:16:08 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,BRL
Campinas,UberX,CANCELED,2022-08-10 11:13:58 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.158339,-46.869896,"Rua Mário Duarte, 470 - Jundiaí Mirim - Jundiaí - SP, 13216-640",1970-01-01 00:00:00 +0000 UTC,-23.15862536430359,-46.86934626102448,"Rua Caetano Manzini, 150 - Jundiaí Mirim - Jundiaí - SP, 13216-642",0.00,0,BRL
Campinas,Comfort,CANCELED,2022-07-24 03:00:01 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,BRL
Campinas,Comfort,CANCELED,2022-07-24 02:56:04 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.189732,-46.890003,"R. Do Retiro, 152 - Centro - Jundiai - SP, 13201-030",1970-01-01 00:00:00 +0000 UTC,-23.18971574306488,-46.89001977443695,"R. Do Retiro, 152 - Centro - Jundiai - SP, 13201-030",0.00,0,BRL
Campinas,UberX,CANCELED,2022-07-24 02:54:03 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,BRL
Campinas,Comfort,CANCELED,2022-07-24 02:47:45 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,BRL
Campinas,,UNFULFILLED,2022-07-24 02:44:05 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,BRL
Campinas,,UNFULFILLED,2022-07-24 02:40:13 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.215322,-46.876705,"Rua Cica, 1740 - Vila Rami - Jundiaí - SP, 13206-475",1970-01-01 00:00:00 +0000 UTC,-23.21564519405365,-46.8766850233078,"Rua Cica, 1719 - Vila Rami - Jundiaí - SP, 13206-475",0.00,0,BRL
Campinas,,UNFULFILLED,2022-07-24 02:36:50 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,BRL
Campinas,UberX,COMPLETED,2022-07-23 17:30:02 +0000 UTC,2022-07-23 17:34:16 +0000 UTC,-23.116938,-46.856754,"Chácaras Maltoni, Jundiaí - State of São Paulo, 13215-796, Brazil",2022-07-23 17:47:59 +0000 UTC,-23.195038,-46.872635,"Av. União Dos Ferroviários, 4005 - Ponte de Campinas - Jundiaí - SP, 13201-160",7.50,29.95,BRL
Campinas,UberX,COMPLETED,2022-07-16 15:30:44 +0000 UTC,2022-07-16 15:36:42 +0000 UTC,-23.189224,-46.887604,"R. Baronesa do Japi, 414 - Centro, Jundiaí - SP, 13207-684, Brazil",2022-07-16 16:01:36 +0000 UTC,-23.185844,-46.999283,"R. João Telles - Medeiros, Jundiaí - SP, 13212-249, Brazil",8.57,29.93,BRL
Campinas,UberX,CANCELED,2022-07-10 17:52:22 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,BRL
Campinas,UberX,CANCELED,2022-07-10 17:50:20 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.175459,-46.89484,"avenida dos ferroviários 1290 - Vila Municipal - Jundiaí - SP, 13215",1970-01-01 00:00:00 +0000 UTC,-23.175459,-46.89484,"avenida dos ferroviários 1290 - Vila Municipal - Jundiaí - SP, 13215",0.00,0,BRL
Campinas,UberX,CANCELED,2022-07-10 17:48:20 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,BRL
Campinas,UberX,COMPLETED,2022-06-20 01:50:37 +0000 UTC,2022-06-20 02:00:55 +0000 UTC,-23.207197,-46.895638,Terminal Rodoviário Jundiaí,2022-06-20 02:15:58 +0000 UTC,-23.121506,-46.853985,"Tv. 01, 20-90 - Chácaras Maltoni, Jundiaí - SP, 13218, Brazil",10.16,32.26,BRL
Campinas,,UNFULFILLED,2022-06-20 01:45:09 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.17817,-46.89746,"Av. Antônio Segre, 676 - Ponte de Campinas - Jundiaí - SP, 13201-145",1970-01-01 00:00:00 +0000 UTC,-23.17818129062653,-46.89748096466064,"Av. Antônio Segre, 676 - Ponte de Campinas - Jundiaí - SP, 13201-145",0.00,0,BRL
Campinas,UberX,COMPLETED,2022-06-12 15:57:09 +0000 UTC,2022-06-12 16:03:12 +0000 UTC,-23.207273,-46.895435,Terminal Rodoviário Jundiaí,2022-06-12 16:16:59 +0000 UTC,-23.121511,-46.853962,"Tv. 01, 20-90 - Chácaras Maltoni, Jundiaí - SP, 13218, Brazil",10.15,25.83,BRL
Sao Paulo,UberX,COMPLETED,2022-06-12 12:50:27 +0000 UTC,2022-06-12 12:52:06 +0000 UTC,-23.556373999999998,-46.74433,"Avenida Jaguaré, 403 - Jaguaré - Sao Paulo - SP, 05346-000",2022-06-12 12:56:14 +0000 UTC,-23.54515,-46.732143,"Av. Das Nações Unidas - Vila Leopoldina - São Paulo - SP, 05310-000",1.52,16.16,BRL
Sao Paulo,UberX,COMPLETED,2022-06-11 21:48:24 +0000 UTC,2022-06-11 21:54:33 +0000 UTC,-23.545813,-46.69066,"Avenida Pompéia, 1326 - Perdizes - Sao Paulo - SP, 05023-001",2022-06-11 21:59:55 +0000 UTC,-23.558342,-46.690716,"R. Aspicuelta, 585 - Vila Madalena - São Paulo - SP, 05433-011",1.28,9.26,BRL
Campinas,UberX,COMPLETED,2022-06-08 18:31:33 +0000 UTC,2022-06-08 18:39:04 +0000 UTC,-23.1874,-46.89709,"R. do Retiro, 852 - Vila Virginia, Jundiaí - SP, 13209-010, Brazil",2022-06-08 18:56:13 +0000 UTC,-23.12135,-46.854053,"Tv. 01, 20-90 - Chácaras Maltoni, Jundiaí - SP, 13218, Brazil",7.84,21.3,BRL
Campinas,UberX,COMPLETED,2022-05-28 18:26:03 +0000 UTC,2022-05-28 18:35:09 +0000 UTC,-23.190575,-46.898056,"Avenida Jundiaí, 926 - Anhangabaú - Jundiaí - SP, 13208-053",2022-05-28 18:49:40 +0000 UTC,-23.121479,-46.85399,"Tv. 01, 20-90 - Chácaras Maltoni, Jundiaí - SP, 13218, Brazil",9.03,20.96,BRL
Campinas,UberX,COMPLETED,2022-05-28 16:45:55 +0000 UTC,2022-05-28 16:58:13 +0000 UTC,-22.936623,-47.096546,"Av. Das Amoreiras, 4001 - Vila Mimosa - Campinas - SP, 13050-055",2022-05-28 17:12:39 +0000 UTC,-22.905918,-47.073288,"R. Dr. Pereira Lima, S/N - Bairro Vila Industrial - Campinas - SP, 13035-505",3.81,16.75,BRL
Campinas,UberX,COMPLETED,2022-05-27 23:16:59 +0000 UTC,2022-05-27 23:21:53 +0000 UTC,-22.929886,-47.06976,"Avenida Papa Paulo VI, 170 - Jardim do Trevo - Campinas - SP, 13040-000",2022-05-27 23:30:57 +0000 UTC,-22.936615,-47.096546,"Avenida das Amoreiras, 4001 - Campinas - SP, 13050-055",3.54,13.57,BRL
Campinas,UberX,COMPLETED,2022-05-27 22:02:35 +0000 UTC,2022-05-27 22:05:53 +0000 UTC,-23.18306,-46.88893,"Praca Expedicionarios, 50 - Centro - Jundiaí - SP, 13201-041",2022-05-27 22:15:28 +0000 UTC,-23.207304,-46.895447,"Av. 9 de Julho, 4000 - Jardim Anhanguera - Jundiaí - SP, 13208-056",2.08,12.22,BRL
Campinas,UberX,COMPLETED,2022-05-21 22:48:30 +0000 UTC,2022-05-21 22:51:50 +0000 UTC,-23.184126,-46.854393,"Rua Atibaia, 277 - Colônia - Jundiaí - SP, 13219-816",2022-05-21 23:02:41 +0000 UTC,-23.17676,-46.89312,"Av. União dos Ferroviários, 3051 - Vila Mun., Jundiaí - SP, 13201-160, Brazil",3.07,14.97,BRL
Campinas,UberX,COMPLETED,2022-05-13 17:43:41 +0000 UTC,2022-05-13 17:54:09 +0000 UTC,-23.191523,-46.89447,"R. Rodrigo Soares de Oliveira, 357 - Anhangabaú, Jundiaí - SP, 13208-120, Brazil",2022-05-13 18:13:51 +0000 UTC,-23.113752,-46.878048,"Av. Geraldo Azzoni, 11 - Rio Acima, Jundiaí - SP, 13215-840, Brazil",8.91,24.93,BRL
Campinas,UberX,COMPLETED,2022-05-01 17:22:04 +0000 UTC,2022-05-01 17:28:56 +0000 UTC,-23.192678,-46.881012,"R. Barão de Jundiaí, 153 - Centro - Jundiaí - SP, 13201-010",2022-05-01 17:44:02 +0000 UTC,-23.121422,-46.85401,"Travessa 1, 106 - Jundiaí - Jundiaí - SP, 13216",7.14,19.96,BRL
Campinas,UberX,COMPLETED,2022-04-09 13:28:27 +0000 UTC,2022-04-09 13:31:11 +0000 UTC,-23.179241,-46.92162,"Rua Tocantins, 35 - Jundiaí - Jundiaí - SP, 13211-818",2022-04-09 13:46:55 +0000 UTC,-23.121462,-46.853935,"Tv. 01, 20-90 - Chácaras Maltoni, Jundiaí - SP, 13218, Brazil",8.51,19.95,BRL
Campinas,UberX,COMPLETED,2022-03-23 13:50:50 +0000 UTC,2022-03-23 13:54:29 +0000 UTC,-23.187134,-46.884445,"Rua Padroeira, 512 - Centro - Jundiaí - SP, 13201-025",2022-03-23 14:10:10 +0000 UTC,-23.121422,-46.85397,"Tv. 01, 35-65 - Chácaras Maltoni, Jundiaí - SP, 13218, Brazil",6.65,20.22,BRL
Campinas,UberX,DRIVER_CANCELED,2022-03-23 13:40:06 +0000 UTC,2022-03-23 13:47:47 +0000 UTC,-23.186186,-46.89701,"R. da Padroeira, 512 - Centro, Jundiaí - SP, 13201-026, Brazil",1970-01-01 00:00:00 +0000 UTC,-23.18735635280609,-46.88466775417328,"Tv. 01, 35-65 - Chácaras Maltoni, Jundiaí - SP, 13218, Brazil",0.00,0,BRL
Campinas,UberX,COMPLETED,2022-03-21 20:29:31 +0000 UTC,2022-03-21 20:45:06 +0000 UTC,-23.121447,-46.85403,"Tv. 01, 35-65 - Chácaras Maltoni, Jundiaí - SP, 13218, Brazil",2022-03-21 21:08:53 +0000 UTC,-23.14005,-46.929695,"Rua Uva Itália, 322 - Cecap - Jundiaí - SP, 13214-704",12.03,33.65,BRL
Campinas,UberX,COMPLETED,2022-03-12 18:49:21 +0000 UTC,2022-03-12 18:57:10 +0000 UTC,-22.936499,-47.096466,"Av. das Amoreiras, 4001 - Vila Mimosa, Campinas - SP, 13050-055, Brazil",2022-03-12 19:22:07 +0000 UTC,-22.835552,-47.03428,"Parque Rural Fazenda Santa Candida, Campinas - State of São Paulo, 13087-549, Brazil",10.72,39.93,BRL
Campinas,UberX,COMPLETED,2022-03-06 01:23:16 +0000 UTC,2022-03-06 01:34:43 +0000 UTC,-23.207222,-46.895596,"Vianelo-Bonfiglioli, Jundiaí - State of São Paulo, 13201-019, Brazil",2022-03-06 01:51:13 +0000 UTC,-23.121326,-46.854057,"Tv. 01, 115 - Parque Espelho D Agua, Jundiaí - SP, 13215-860, Brazil",10.14,29.98,BRL
Campinas,UberX,COMPLETED,2022-02-25 23:02:04 +0000 UTC,2022-02-25 23:14:27 +0000 UTC,-23.17599,-46.88583,"R. Manoel Bandeira, 56 - Vila Liberdade, Jundiaí - SP, 13215-260, Brazil",2022-02-25 23:25:30 +0000 UTC,-23.12146,-46.854008,"Tv. 01, 115 - Parque Espelho D Agua, Jundiaí - SP, 13215-860, Brazil",5.76,24.9,BRL
Campinas,UberX,COMPLETED,2022-02-16 17:52:01 +0000 UTC,2022-02-16 17:55:27 +0000 UTC,-23.180166,-46.88745,"R. Mal.Deodoro da Fonseca, 978 - Centro, Jundiaí - SP, 13201-002, Brazil",2022-02-16 18:13:15 +0000 UTC,-23.14825,-46.851875,"Av. Alexandre Milani, 427 - Jardim Rosaura, Jundiaí - SP, 13218-650, Brazil",8.08,13.05,BRL
Campinas,UberX,COMPLETED,2022-02-12 23:39:08 +0000 UTC,2022-02-12 23:49:00 +0000 UTC,-23.17619,-46.88583,"R. Manoel Bandeira, 56 - Vila Liberdade, Jundiaí - SP, 13215-260, Brazil",2022-02-13 00:00:46 +0000 UTC,-23.121468,-46.853973,"Tv. 01, 115 - Parque Espelho D Agua, Jundiaí - SP, 13215-860, Brazil",5.75,16.99,BRL
Campinas,UberX,CANCELED,2021-12-18 19:30:35 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,BRL
Campinas,UberX,CANCELED,2021-12-18 19:29:23 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,BRL
Campinas,UberX,COMPLETED,2021-12-11 11:29:55 +0000 UTC,2021-12-11 11:37:48 +0000 UTC,-23.14959,-46.876244,"R. Francisco Anholon, 200 - Parque Sao Luiz, Jundiaí - SP, 13216-722, Brazil",2021-12-11 11:45:38 +0000 UTC,-23.121462,-46.85399,"Tv. 01, 115 - Parque Espelho D Agua, Jundiaí - SP, 13215-860, Brazil",3.75,12.94,BRL
Campinas,UberX,COMPLETED,2021-12-10 13:57:46 +0000 UTC,2021-12-10 14:02:44 +0000 UTC,-23.184832,-46.886703,"R. Barão de Jundiaí, 1141 - Centro, Jundiaí - SP, 13201-012, Brazil",2021-12-10 14:17:48 +0000 UTC,-23.121489,-46.853966,"Tv. 01, 115 - Parque Espelho D Agua, Jundiaí - SP, 13215-860, Brazil",6.50,19.02,BRL
Campinas,UberX,COMPLETED,2021-11-27 16:56:24 +0000 UTC,2021-11-27 17:13:51 +0000 UTC,-23.11951,-46.874676,"Av. Geraldo Azzoni, 555 - Aglomeração Urbana de Jundiaí, Jundiaí - SP, 13215-840, Brazil",2021-11-27 17:18:18 +0000 UTC,-23.121445,-46.854023,"Tv. 01, 115 - Parque Espelho D Agua, Jundiaí - SP, 13215-860, Brazil",1.93,9.09,BRL
Campinas,UberX,COMPLETED,2021-11-24 20:07:42 +0000 UTC,2021-11-24 20:11:44 +0000 UTC,-23.122942,-46.873016,"Aglomeração Urbana de Jundiaí, Jundiaí - State of São Paulo, 13214, Brazil",2021-11-24 20:15:23 +0000 UTC,-23.121492,-46.853977,"Tv. 01, 115 - Parque Espelho D Agua, Jundiaí - SP, 13215-860, Brazil",1.69,8.78,BRL
Campinas,UberX,CANCELED,2021-11-24 19:57:13 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.185555,-46.885075,"Rua Rangel Pestana, 377 - Centro - Jundiaí - SP, 13201-000",1970-01-01 00:00:00 +0000 UTC,-23.14698696136475,-46.87382972240448,"Avenida Clarice de Souza Almeida, 594 - Jundiaí Mirim - Jundiaí - SP, 13216-730",0.00,0,BRL
Campinas,UberX,CANCELED,2021-11-24 19:29:35 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,BRL
Campinas,UberX,CANCELED,2021-11-24 19:17:09 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.180132,-46.960846,"Rodovia Dom Gabriel Paulino Bueno Couto & Avenida Marginal - Jundiaí - Jundiaí - SP, 13212",1970-01-01 00:00:00 +0000 UTC,-23.16606831550598,-46.90681958198547,"Rua Traldi, 17 - Vila Hortolândia - Jundiaí - SP, 13214-360",0.00,0,BRL
Campinas,UberX,COMPLETED,2021-11-06 13:40:15 +0000 UTC,2021-11-06 13:59:07 +0000 UTC,-23.11095,-46.88266,"Av. Geraldo Azzoni, 3750 - Rio Acima, Jundiaí - SP, 13215-840, Brazil",2021-11-06 14:08:27 +0000 UTC,-23.11392,-46.851677,"Tv. 01, 65-35 - Chácaras Maltoni, Jundiaí - SP, 13218, Brazil",1.96,8.03,BRL
Campinas,UberX,CANCELED,2021-11-06 13:18:29 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.155512,-46.83439,"Avenida José Mezzalira, 619 - Jundiaí - SP, 13218-740",1970-01-01 00:00:00 +0000 UTC,-23.15098643302917,-46.84878814220428,"Tv. 01, 65-35 - Chácaras Maltoni, Jundiaí - SP, 13218, Brazil",0.00,0,BRL
Campinas,UberX,CANCELED,2021-10-29 16:33:22 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.170298,-46.880512,"Rua Manoel Peixoto, 66 - Vila Rio Branco - Jundiaí - SP, 13215-064",1970-01-01 00:00:00 +0000 UTC,-23.16059076786041,-46.87319672107697,"Avenida Francisco Copelli, 872 - Jundiaí - Jundiaí - SP, 13216-600",0.00,0,BRL
Campinas,UberX,COMPLETED,2021-10-20 16:37:38 +0000 UTC,2021-10-20 16:41:49 +0000 UTC,-23.19675,-46.873173,"R. Lacerda Franco, 168 - Vila Arens, Jundiaí - SP, 13201-750, Brazil",2021-10-20 16:59:43 +0000 UTC,-23.120983,-46.854042,"Tv. 01, 76 - Parque Espelho D Agua, Jundiaí - SP, 13215-860, Brazil",7.33,21.08,BRL
Campinas,UberX,COMPLETED,2021-10-09 23:08:03 +0000 UTC,2021-10-09 23:19:35 +0000 UTC,-23.150223,-46.876476,"R. Francisco Anholon, 107 - Parque Sao Luiz, Jundiaí - SP, 13216-722, Brazil",2021-10-09 23:25:45 +0000 UTC,-23.121468,-46.854015,"Tv. 01, 115 - Parque Espelho D Agua, Jundiaí - SP, 13215-860, Brazil",3.51,13.12,BRL
Campinas,UberX,COMPLETED,2021-10-06 12:44:13 +0000 UTC,2021-10-06 12:46:18 +0000 UTC,-23.193127,-46.893208,"Av. Dr. Sebastião Mendes da Silva, 510 - Anhangabaú, Jundiaí - SP, 13208-090, Brazil",2021-10-06 13:03:13 +0000 UTC,-23.120314,-46.85405,"Av. Alexandre Milani, 9000 - Chácaras Maltoni, Jundiaí - SP, 13218-650, Brazil",9.52,24.08,BRL
Campinas,UberX,CANCELED,2021-09-22 20:04:49 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.081442,-46.889366,"R. Sem Denominacao, 290 - Centro, Louveira - SP, 13201-970, Brazil",1970-01-01 00:00:00 +0000 UTC,-23.08780431747437,-46.89356350898743,"Estr. Leopoldino Bortolossi, 3837 - Arataba, Louveira - SP, 13290-000, Brazil",0.00,0,BRL
Campinas,UberX,COMPLETED,2021-09-18 13:18:29 +0000 UTC,2021-09-18 13:47:10 +0000 UTC,-23.116003,-46.876877,"Av. Geraldo Azzoni, 1007 - Aglomeração Urbana de Jundiaí, Jundiaí - SP, 13215-840, Brazil",2021-09-18 13:52:35 +0000 UTC,-23.121422,-46.85396,"Tv. 01, 115 - Parque Espelho D Agua, Jundiaí - SP, 13215-860, Brazil",2.15,13.47,BRL
Campinas,UberX,COMPLETED,2021-09-11 14:28:16 +0000 UTC,2021-09-11 14:33:36 +0000 UTC,-23.119558,-46.874657,"Av. Geraldo Azzoni, 1729 - Rio Acima, Jundiaí - SP, 13215-840, Brazil",2021-09-11 14:37:41 +0000 UTC,-23.121479,-46.854008,"Tv. 01, 115 - Parque Espelho D Agua, Jundiaí - SP, 13215-860, Brazil",1.92,9.51,BRL
Campinas,UberX,COMPLETED,2021-09-04 16:09:44 +0000 UTC,2021-09-04 16:24:19 +0000 UTC,-23.119528,-46.87461,"Av. Geraldo Azzoni, 1729 - Rio Acima, Jundiaí - SP, 13215-840, Brazil",2021-09-04 16:28:58 +0000 UTC,-23.121433,-46.854,"Tv. 01, 115 - Parque Espelho D Agua, Jundiaí - SP, 13215-860, Brazil",1.93,8.47,BRL
Campinas,UberX,COMPLETED,2021-08-15 22:14:40 +0000 UTC,2021-08-15 22:26:14 +0000 UTC,-23.184832,-46.97103,"Rua Chiara Lubich, 371 - Jardim Ermida I, Jundiaí - SP, 13212-117, Brazil",2021-08-15 22:40:34 +0000 UTC,-23.12035,-46.85396,"Chácaras Maltoni, Jundiaí - State of São Paulo, 13215-860, Brazil",10.71,25.54,BRL
Campinas,UberX,COMPLETED,2021-06-19 14:29:53 +0000 UTC,2021-06-19 14:32:27 +0000 UTC,-23.179193,-46.921562,"R. Tocantins, 97 - Jardim Guanabara, Jundiaí - SP, 13211-818, Brasil",2021-06-19 14:45:58 +0000 UTC,-23.120295,-46.854053,"Av. Alexandre Milani, 9000 - Chácaras Maltoni, Jundiaí - SP, 13218-650, Brasil",8.42,18.67,BRL
Campinas,UberX,COMPLETED,2021-06-09 21:58:31 +0000 UTC,2021-06-09 22:12:14 +0000 UTC,-23.1856,-46.88923,"R. Onze de Junho, 170 - Centro, Jundiaí - SP, 13201-038, Brasil",2021-06-09 22:21:34 +0000 UTC,-23.20191,-46.87289,"Av. Fernando Arens, 612 - Vila Arens II, Jundiaí - SP, 13202-570, Brasil",2.20,10.77,BRL
